type,title,country,date_added,release_year,rating,duration,listed_in,duration_minutes,rating_encoded,genres,Cluster
Movie,Dick Johnson Is Dead,United States,"September 25, 2021",2020,PG-13,90 min,Documentaries,90,7,['Documentaries'],3
TV Show,Blood & Water,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",120,11,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",1
TV Show,Ganglands,,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",60,11,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']",1
TV Show,Jailbirds New Orleans,,"September 24, 2021",2021,TV-MA,1 Season,"Docuseries, Reality TV",60,11,"['Docuseries', 'Reality TV']",1
TV Show,Kota Factory,India,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",120,11,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",1
TV Show,Midnight Mass,,"September 24, 2021",2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",60,11,"['TV Dramas', 'TV Horror', 'TV Mysteries']",1
Movie,My Little Pony: A New Generation,,"September 24, 2021",2021,PG,91 min,Children & Family Movies,91,6,['Children & Family Movies'],4
Movie,Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",125,11,"['Dramas', 'Independent Movies', 'International Movies']",4
TV Show,The Great British Baking Show,United Kingdom,"September 24, 2021",2021,TV-14,9 Seasons,"British TV Shows, Reality TV",540,9,"['British TV Shows', 'Reality TV']",1
Movie,The Starling,United States,"September 24, 2021",2021,PG-13,104 min,"Comedies, Dramas",104,7,"['Comedies', 'Dramas']",4
TV Show,"Vendetta: Truth, Lies and The Mafia",,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",60,11,"['Crime TV Shows', 'Docuseries', 'International TV Shows']",1
TV Show,Bangkok Breaking,,"September 23, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",60,11,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']",1
Movie,Je Suis Karl,"Germany, Czech Republic","September 23, 2021",2021,TV-MA,127 min,"Dramas, International Movies",127,11,"['Dramas', 'International Movies']",4
Movie,Confessions of an Invisible Girl,,"September 22, 2021",2021,TV-PG,91 min,"Children & Family Movies, Comedies",91,12,"['Children & Family Movies', 'Comedies']",4
TV Show,Crime Stories: India Detectives,,"September 22, 2021",2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",60,11,"['British TV Shows', 'Crime TV Shows', 'Docuseries']",1
TV Show,Dear White People,United States,"September 22, 2021",2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas",240,11,"['TV Comedies', 'TV Dramas']",1
Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,,"September 22, 2021",2020,TV-MA,67 min,"Documentaries, International Movies",67,11,"['Documentaries', 'International Movies']",3
TV Show,Falsa identidad,Mexico,"September 22, 2021",2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",120,11,"['Crime TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']",1
Movie,Intrusion,,"September 22, 2021",2021,TV-14,94 min,Thrillers,94,9,['Thrillers'],4
TV Show,Jaguar,,"September 22, 2021",2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",60,11,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Action & Adventure']",1
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,,"September 22, 2021",2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",60,9,"['Crime TV Shows', 'Docuseries', 'International TV Shows']",1
TV Show,Resurrection: Ertugrul,Turkey,"September 22, 2021",2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",300,9,"['International TV Shows', 'TV Action & Adventure', 'TV Dramas']",1
Movie,Avvai Shanmughi,,"September 21, 2021",1996,TV-PG,161 min,"Comedies, International Movies",161,12,"['Comedies', 'International Movies']",4
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,,"September 21, 2021",2021,TV-Y,61 min,Children & Family Movies,61,13,['Children & Family Movies'],4
Movie,Jeans,India,"September 21, 2021",1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies",166,9,"['Comedies', 'International Movies', 'Romantic Movies']",4
TV Show,Love on the Spectrum,Australia,"September 21, 2021",2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV",120,9,"['Docuseries', 'International TV Shows', 'Reality TV']",1
Movie,Minsara Kanavu,,"September 21, 2021",1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",147,12,"['Comedies', 'International Movies', 'Music & Musicals']",4
Movie,Grown Ups,United States,"September 20, 2021",2010,PG-13,103 min,Comedies,103,7,['Comedies'],4
Movie,Dark Skies,United States,"September 19, 2021",2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",97,7,"['Horror Movies', 'Sci-Fi & Fantasy']",4
Movie,Paranoia,"United States, India, France","September 19, 2021",2013,PG-13,106 min,Thrillers,106,7,['Thrillers'],4
Movie,Ankahi Kahaniya,,"September 17, 2021",2021,TV-14,111 min,"Dramas, Independent Movies, International Movies",111,9,"['Dramas', 'Independent Movies', 'International Movies']",4
TV Show,Chicago Party Aunt,,"September 17, 2021",2021,TV-MA,1 Season,TV Comedies,60,11,['TV Comedies'],1
TV Show,Sex Education,United Kingdom,"September 17, 2021",2020,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",180,11,"['British TV Shows', 'International TV Shows', 'TV Comedies']",1
TV Show,Squid Game,,"September 17, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",60,11,"['International TV Shows', 'TV Dramas', 'TV Thrillers']",1
TV Show,Tayo and Little Wizards,,"September 17, 2021",2020,TV-Y7,1 Season,Kids' TV,60,14,"[""Kids' TV""]",1
Movie,The Father Who Moves Mountains,,"September 17, 2021",2021,TV-MA,110 min,"Dramas, International Movies, Thrillers",110,11,"['Dramas', 'International Movies', 'Thrillers']",4
Movie,The Stronghold,,"September 17, 2021",2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies",105,11,"['Action & Adventure', 'Dramas', 'International Movies']",4
TV Show,Angry Birds,Finland,"September 16, 2021",2018,TV-Y7,1 Season,"Kids' TV, TV Comedies",60,14,"[""Kids' TV"", 'TV Comedies']",1
Movie,Birth of the Dragon,"China, Canada, United States","September 16, 2021",2017,PG-13,96 min,"Action & Adventure, Dramas",96,7,"['Action & Adventure', 'Dramas']",4
TV Show,Chhota Bheem,India,"September 16, 2021",2021,TV-Y7,3 Seasons,Kids' TV,180,14,"[""Kids' TV""]",1
TV Show,He-Man and the Masters of the Universe,United States,"September 16, 2021",2021,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",60,14,"[""Kids' TV"", 'TV Sci-Fi & Fantasy']",1
Movie,Jaws,United States,"September 16, 2021",1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas",124,6,"['Action & Adventure', 'Classic Movies', 'Dramas']",4
Movie,Jaws 2,United States,"September 16, 2021",1978,PG,116 min,"Dramas, Horror Movies, Thrillers",116,6,"['Dramas', 'Horror Movies', 'Thrillers']",4
Movie,Jaws 3,United States,"September 16, 2021",1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",98,6,"['Action & Adventure', 'Horror Movies', 'Thrillers']",4
Movie,Jaws: The Revenge,United States,"September 16, 2021",1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",91,7,"['Action & Adventure', 'Horror Movies', 'Thrillers']",4
Movie,My Heroes Were Cowboys,,"September 16, 2021",2021,PG,23 min,Documentaries,23,6,['Documentaries'],3
Movie,Safe House,"South Africa, United States, Japan","September 16, 2021",2012,R,115 min,Action & Adventure,115,8,['Action & Adventure'],4
TV Show,The Smart Money Woman,,"September 16, 2021",2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",60,11,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",1
Movie,Training Day,United States,"September 16, 2021",2001,R,122 min,"Dramas, Thrillers",122,8,"['Dramas', 'Thrillers']",4
TV Show,Castle and Castle,Nigeria,"September 15, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas",120,11,"['International TV Shows', 'TV Dramas']",1
TV Show,Dharmakshetra,India,"September 15, 2021",2014,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",60,12,"['International TV Shows', 'TV Dramas', 'TV Sci-Fi & Fantasy']",1
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Japan,"September 15, 2021",2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",99,9,"['Action & Adventure', 'Anime Features', 'International Movies']",4
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Japan,"September 15, 2021",2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",99,9,"['Action & Adventure', 'Anime Features', 'International Movies']",4
Movie,InuYasha the Movie 4: Fire on the Mystic Island,Japan,"September 15, 2021",2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",88,12,"['Action & Adventure', 'Anime Features', 'International Movies']",4
